"cd_assunto_nivel_1","cd_assunto_nivel_2","cd_assunto_nivel_3","cd_assunto_nivel_4","cd_assunto_nivel_5"
"8826","8842","8874","55492","55497"
"8826","8842","9258",,
"8826","8842","9493",,
"8826","8842","9494",,
"8826","8875",,,
"8826","8875","55474",,
"8826","8875","55475",,
"8826","8875","55475","55476",
"8826","8875","55475","55476","55477"
"8826","8875","55475","55476","55478"
"8826","8875","55479",,
"8826","8883",,,
"8826","8883","8884",,
"8826","8883","8884","10659",
"8826","8883","8884","10660",
"8826","8883","8888",,
"8826","8883","8888","55289",
"8826","8883","8888","55290",
"8826","8893",,,
"8826","8893","10938",,
"8826","8893","10939",,
"8826","8893","8919",,
"8826","8893","8919","10734",
"8826","8893","8919","55240",
"8826","8893","8919","55241",
"8826","8893","8919","55241","55431"
"8826","8893","8919","55242",
"8826","8893","8919","55243",
"8826","8893","8928",,
"8826","8893","8928","55432",
"8826","8893","8934",,
"8826","8893","8934","55433",
"8826","8938",,,
"8826","8938","55254",,
"8826","8938","55254","55255",
"8826","8938","55254","55256",
"8826","8938","55434",,
"8826","8938","55434","10735",
"8826","8938","55434","10737",
"8826","8938","55434","55246",
"8826","8938","55434","55246","55247"
"8826","8938","55434","55246","55435"
"8826","8938","55434","55436",
"8826","8938","55434","55437",
"8826","8938","55438",,
"8826","8938","55439",,
"8826","8938","55439","55249",
"8826","8938","55439","55253",
"8826","8938","55439","55641",
"8826","8938","8939",,
"8826","8938","8939","55245",
"8826","8938","8939","55440",
"8826","8938","8941",,
"8826","8938","8942",,
"8826","8960",,,
"8826","8960","55296",,
"8826","8960","55503",,
"8826","8960","55503","10668",
"8826","8960","55503","55300",
"8826","8960","55503","55504",
"8826","8960","8961",,
"8826","8960","8961","55500",
"8826","8960","8961","55501",
"8826","8960","8961","55502",
"8826","8960","8986",,
"8826","8960","8990",,
"8826","8960","8990","10940",
"8826","8960","8990","10940","55505"
"8826","8960","8990","55506",
"8826","8960","8990","55507",
"8826","8960","8990","55508",
"8826","8960","8990","55508","55509"
"8826","8960","8990","55508","55510"
"8826","8960","8990","55508","55511"
"8826","8960","8990","55508","55512"
"8826","8960","8990","55513",
"8826","8960","8990","55514",
"8826","8960","9024",,
"8826","8960","9024","55515",
"8826","8960","9024","55516",
"8826","8960","9024","55517",
"8826","8960","9026",,
"8826","9045",,,
"8826","9045","10666",,
"8826","9045","10738",,
"8826","9045","55297",,
"8826","9045","55298",,
"8826","9045","55299",,
"8826","9045","55518",,
"8826","9045","55518","55519",
"8826","9045","55518","55519","55520"
"8826","9045","55518","55519","55521"
"8826","9045","55518","55519","55522"
"8826","9045","55518","55523",
"8826","9045","55518","55524",
"8826","9045","55537",,
"8826","9045","55538",,
"8826","9045","55538","55539",
"8826","9045","55538","55540",
"8826","9045","55538","55541",
"8826","9045","9047",,
"8826","9045","9050",,
"8826","9045","9050","55525",
"8826","9045","9050","55525","55526"
"8826","9045","9050","55525","55527"
"8826","9045","9050","55525","55528"
"8826","9045","9050","55529",
"8826","9045","9050","55530",
"8826","9045","9050","55530","55531"
"8826","9045","9050","55530","55532"
"8826","9045","9050","55530","55533"
"8826","9045","9050","55530","55534"
"8826","9045","9050","55530","55535"
"8826","9045","9050","55530","55536"
"8826","9045","9060",,
"8826","9045","9060","10669",
"8826","9045","9060","55542",
"8826","9045","9060","55543",
"8826","9045","9060","55544",
"8826","9045","9060","55545",
"8826","9045","9098",,
"8826","9148",,,
"8826","9148","10573",,
"8826","9148","10573","10860",
"8826","9148","10573","10861",
"8826","9148","10670",,
"8826","9148","10670","10676",
"8826","9148","10670","10677",
"8826","9148","10671",,
"8826","9148","10672",,
"8826","9148","10672","10678",
"8826","9148","10672","10678","55469"
"8826","9148","10672","10679",
"8826","9148","10672","10679","55466"
"8826","9148","10672","10680",
"8826","9148","10672","10869",
"8826","9148","10672","10885",
"8826","9148","10672","55465",
"8826","9148","10672","55467",
"8826","9148","10672","55468",
"8826","9148","10673",,
"8826","9148","10673","55472",
"8826","9148","10683",,
"8826","9148","10686",,
"8826","9148","10686","55463",
"8826","9148","10686","55464",
"8826","9148","10880",,
"8826","9148","10880","55460",
"8826","9148","10880","55460","55461"
"8826","9148","55277",,
"8826","9148","55281",,
"8826","9148","55459",,
"8826","9148","55462",,
"8826","9148","55470",,
"8826","9148","55471",,
"8826","9148","55639",,
"8826","9148","55639","55640",
"8826","9148","9149",,
"8826","9148","9149","10684",
"8826","9148","9149","10684","55473"
"8826","9148","9149","10685",
"8826","9148","9149","10687",
"8826","9148","9149","55286",
"8826","9148","9149","55287",
"8826","9148","9160",,
"8826","9148","9163",,
"8826","9148","9163","55265",
